annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_en_france;nombre_de_gagnant_au_rang1_en_europe;rapport_du_rang1;nombre_de_gagnant_au_rang2_en_france;nombre_de_gagnant_au_rang2_en_europe;rapport_du_rang2;nombre_de_gagnant_au_rang3_en_france;nombre_de_gagnant_au_rang3_en_europe;rapport_du_rang3;nombre_de_gagnant_au_rang4_en_france;nombre_de_gagnant_au_rang4_en_europe;rapport_du_rang4;nombre_de_gagnant_au_rang5_en_france;nombre_de_gagnant_au_rang5_en_europe;rapport_du_rang5;nombre_de_gagnant_au_rang6_en_france;nombre_de_gagnant_au_rang6_en_europe;rapport_du_rang6;nombre_de_gagnant_au_rang7_en_france;nombre_de_gagnant_au_rang7_en_europe;rapport_du_rang7;nombre_de_gagnant_au_rang8_en_france;nombre_de_gagnant_au_rang8_en_europe;rapport_du_rang8;nombre_de_gagnant_au_rang9_en_france;nombre_de_gagnant_au_rang9_en_europe;rapport_du_rang9;nombre_de_gagnant_au_rang10_en_france;nombre_de_gagnant_au_rang10_en_europe;rapport_du_rang10;nombre_de_gagnant_au_rang11_en_france;nombre_de_gagnant_au_rang11_en_europe;rapport_du_rang11;nombre_de_gagnant_au_rang12_en_france;nombre_de_gagnant_au_rang12_en_europe;rapport_du_rang12;numero_jokerplus;devise;
2011018;VE;20110506;20110706;28;16;20;22;11;4;9;-11-16-20-22-28-;-4-9-;0;1;28772008;6;14;227484;8;19;47567,7;40;149;4332,6;573;2244;191,7;898;3810;79;1545;6446;66,7;21482;93092;23,5;19781;84572;22,3;34626;152321;13,2;90180;410991;10,5;266603;1191381;8,6;1 037 960;eur;
2011017;VE;20110429;20110629;38;40;25;15;41;1;2;-15-25-38-40-41-;-1-2-;0;0;0;2;3;999137,5;2;3;283539;21;79;7690,9;305;1311;308,9;405;2108;134,5;711;3539;114,4;12685;61501;33,5;10288;51723;34,4;19350;99477;19,1;57910;288344;14,1;191524;925416;10,5;6 006 187;eur;
2011016;VE;20110422;20110622;22;45;48;11;36;1;4;-11-22-36-45-48-;-1-4-;0;1;43415570;3;9;362274;0;8;115658,4;17;91;7262,6;346;1662;265,1;594;2765;111,5;948;4308;102,2;15629;70957;31,6;13928;65123;29,7;25468;117834;17,5;77560;355360;12,5;232181;1040049;10,1;5 657 845;eur;
2011015;VE;20110415;20110615;4;41;6;21;39;2;6;-4-6-21-39-41-;-2-6-;0;0;0;3;14;236473,8;4;17;55264,9;28;135;4970,9;278;1616;276,8;452;2363;132,5;1321;6156;72,6;16318;76912;29,6;20025;92943;21,1;24116;117628;17,8;105510;483190;9,3;248204;1140588;9,4;3 446 055;eur;
2011014;VE;20110408;20110608;21;47;23;38;50;6;2;-21-23-38-47-50-;-2-6-;0;0;0;2;6;534915,3;1;9;101200,2;22;111;5861;303;1455;298;477;2448;124;1014;5213;83,1;13647;68332;32,3;15860;78779;24,2;21410;110756;18,4;93428;442333;9,9;208022;1024268;10,1;5 677 021;eur;
2011013;VE;20110401;20110601;17;33;22;21;4;4;8;-4-17-21-22-33-;-4-8-;0;1;15000000;1;8;429383,2;1;22;44309,8;39;198;3516,6;555;2576;180,2;759;4084;79,5;1797;8084;57,4;22840;104845;22,5;22718;103548;19,7;36119;167608;13;104909;480101;9,7;299474;1344193;8,2;1 322 688;eur;
2011012;VE;20110325;20110525;12;21;6;33;27;7;3;-6-12-21-27-33-;-3-7-;0;2;69105267;3;18;394918;9;34;59331,8;141;553;2605,6;1380;5400;177,8;1954;8095;83;5557;20868;46;53718;205538;23,8;73645;276291;15,2;80874;303705;14,8;342993;1316260;7,3;721760;2796521;8,2;6 439 229;eur;
2011011;VE;20110318;20110518;50;13;26;1;20;7;6;-1-13-20-26-50-;-6-7-;0;0;0;4;16;357011,5;8;29;55897,4;38;188;6158,9;760;3552;217,3;1132;5393;100,1;1983;9036;85,4;33367;148679;26,4;28452;129129;26,3;50575;223159;16,2;147938;654937;11,9;474012;2067450;8,9;0 503 254;eur;
2011010;VE;20110311;20110511;17;24;37;19;46;2;7;-17-19-24-37-46-;-2-7-;0;0;0;3;12;402152,9;3;12;114124,4;40;180;5434,4;562;2392;272,6;795;3413;133,7;1788;8718;74,8;24265;116999;28,4;27266;130278;22;33631;163671;18,7;147604;684868;9,6;361473;1730933;9;0 039 412;eur;
2011009;VE;20110304;20110504;28;41;25;11;27;8;5;-11-25-27-28-41-;-5-8-;0;0;0;1;12;343656,8;3;10;117029;50;186;4494,2;466;2087;267;676;3032;128,6;1877;8636;64,5;23922;107155;26,5;27776;127317;19,2;34039;150578;17,3;138079;656444;8,5;341258;1557991;8,5;5 329 958;eur;
