annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_en_france;nombre_de_gagnant_au_rang1_en_europe;rapport_du_rang1;nombre_de_gagnant_au_rang2_en_france;nombre_de_gagnant_au_rang2_en_europe;rapport_du_rang2;nombre_de_gagnant_au_rang3_en_france;nombre_de_gagnant_au_rang3_en_europe;rapport_du_rang3;nombre_de_gagnant_au_rang4_en_france;nombre_de_gagnant_au_rang4_en_europe;rapport_du_rang4;nombre_de_gagnant_au_rang5_en_france;nombre_de_gagnant_au_rang5_en_europe;rapport_du_rang5;nombre_de_gagnant_au_rang6_en_france;nombre_de_gagnant_au_rang6_en_europe;rapport_du_rang6;nombre_de_gagnant_au_rang7_en_france;nombre_de_gagnant_au_rang7_en_europe;rapport_du_rang7;nombre_de_gagnant_au_rang8_en_france;nombre_de_gagnant_au_rang8_en_europe;rapport_du_rang8;nombre_de_gagnant_au_rang9_en_france;nombre_de_gagnant_au_rang9_en_europe;rapport_du_rang9;nombre_de_gagnant_au_rang10_en_france;nombre_de_gagnant_au_rang10_en_europe;rapport_du_rang10;nombre_de_gagnant_au_rang11_en_france;nombre_de_gagnant_au_rang11_en_europe;rapport_du_rang11;nombre_de_gagnant_au_rang12_en_france;nombre_de_gagnant_au_rang12_en_europe;rapport_du_rang12;nombre_de_gagnant_au_rang13_en_france;nombre_de_gagnant_au_rang13_en_europe;rapport_du_rang13;numero_jokerplus;devise;
2014009;VENDREDI;31/01/2014;02/04/2014;10;15;31;8;16;8;9;-8-10-15-16-31-;-8-9-;1;1;72149579;0;2;917680;2;12;50982,2;14;75;4078,5;435;1620;165,2;696;2832;94,5;734;3220;59,3;9982;43527;20,2;17329;69584;12;30360;130093;10,8;46898;215855;11,5;225476;950121;7;393260;1749766;3,9;5 107 482;eur;
2014008;MARDI   ;28/01/2014;30/03/2014;18;23;48;20;42;2;9;-18-20-23-42-48-;-2-9-;0;0;0;2;5;241803,4;0;5;80601,1;5;31;6500;126;710;248,3;270;1377;128;445;2008;62,7;8043;32728;17,7;7005;35142;15,7;12995;66640;13,9;46946;185945;8,8;116109;548933;8;211217;1029483;4,4;0 761 211;eur;
2014007;VENDREDI;24/01/2014;26/03/2014;19;41;35;34;5;1;5;-5-19-34-35-41-;-1-5-;0;0;0;2;7;240106,4;0;5;112049,6;6;64;4376,9;179;948;258,5;359;1919;127,7;529;2665;65,6;9848;43978;18,3;9735;47370;16,2;17981;88489;14,6;54354;234265;9,7;163809;758461;8,1;291594;1366445;4,6;3 107 931;eur;
2014006;MARDI   ;21/01/2014;23/03/2014;4;42;35;48;12;5;8;-4-12-35-42-48-;-5-8-;0;0;0;0;3;378941,7;1;9;42104,6;14;60;3157,8;171;763;217,2;251;1302;127,3;479;2439;48,5;7773;37093;14,6;7047;34015;15,3;13022;61786;14,1;42610;205569;7,4;109362;522270;7,9;200749;936944;4,5;9 624 884;eur;
2014005;VENDREDI;17/01/2014;19/03/2014;26;19;33;42;32;10;4;-19-26-32-33-42-;-4-10-;0;0;0;0;2;805957,9;1;8;67163,1;8;37;7260,8;183;865;271,7;500;2208;106,4;416;1834;91,5;6261;27909;27,6;9159;41632;17,7;20954;96219;12,9;33173;149982;14,5;138783;629065;9,3;318082;1456124;4,1;7 627 662;eur;
2014004;MARDI   ;14/01/2014;16/03/2014;25;18;20;26;37;11;10;-18-20-25-26-37-;-10-11-;0;0;0;0;2;549286,5;1;7;52313;9;41;4465,7;101;495;323,6;299;1350;118,6;282;1348;84,8;3694;19465;27;5126;24926;20,2;15300;69730;12,1;20241;106972;13,9;77039;374843;10,7;236271;1072817;3,8;4 877 648;eur;
2014003;VENDREDI;10/01/2014;12/03/2014;1;27;2;11;29;10;1;-1-2-11-27-29-;-1-10-;0;0;0;4;10;162679,5;3;19;28540,2;14;59;4595,4;341;1287;184,3;846;3095;76,6;557;2317;73,1;7898;31875;24,4;13769;55529;13,4;34021;133944;9,3;36984;156812;14;175699;735151;8,1;436374;1802915;3,3;9 396 001;eur;
2014002;MARDI   ;07/01/2014;09/03/2014;2;45;20;27;33;6;10;-2-20-27-33-45-;-6-10-;1;2;65138886;3;9;235913,8;6;17;41631,8;13;68;5203,9;322;1285;240,9;718;2951;104,9;636;2945;75;8841;41977;24,2;13623;58237;16,7;32291;134170;12,1;47823;225576;12,7;200705;861760;9;481106;2003866;3,9;8 764 447;eur;
2014001;VENDREDI;03/01/2014;05/03/2014;3;44;27;38;31;3;8;-3-27-31-38-44-;-3-8-;0;0;0;0;7;326662;1;9;84690,1;22;105;3629,5;331;1554;214,5;584;2856;116,7;1405;5393;44,1;19586;74946;14,6;17020;74369;14;29630;135489;13;98164;380968;8,1;255676;1107116;7,5;451084;1989785;4,3;4 015 809;eur;
2013105;MARDI   ;31/12/2013;02/03/2014;29;45;24;20;13;7;3;-13-20-24-29-45-;-3-7-;0;0;0;1;12;181797,4;1;6;121198,2;21;101;3599,9;332;1558;204,2;599;2889;110,1;1283;5906;38,4;19476;85971;12,1;16337;75791;13,1;29231;138296;12,1;97636;439456;6,7;233087;1082996;7,3;414868;1993621;4,1;5 515 725;eur;
