annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_en_france;nombre_de_gagnant_au_rang1_en_europe;rapport_du_rang1;nombre_de_gagnant_au_rang2_en_france;nombre_de_gagnant_au_rang2_en_europe;rapport_du_rang2;nombre_de_gagnant_au_rang3_en_france;nombre_de_gagnant_au_rang3_en_europe;rapport_du_rang3;nombre_de_gagnant_au_rang4_en_france;nombre_de_gagnant_au_rang4_en_europe;rapport_du_rang4;nombre_de_gagnant_au_rang5_en_france;nombre_de_gagnant_au_rang5_en_europe;rapport_du_rang5;nombre_de_gagnant_au_rang6_en_france;nombre_de_gagnant_au_rang6_en_europe;rapport_du_rang6;nombre_de_gagnant_au_rang7_en_france;nombre_de_gagnant_au_rang7_en_europe;rapport_du_rang7;nombre_de_gagnant_au_rang8_en_france;nombre_de_gagnant_au_rang8_en_europe;rapport_du_rang8;nombre_de_gagnant_au_rang9_en_france;nombre_de_gagnant_au_rang9_en_europe;rapport_du_rang9;nombre_de_gagnant_au_rang10_en_france;nombre_de_gagnant_au_rang10_en_europe;rapport_du_rang10;nombre_de_gagnant_au_rang11_en_france;nombre_de_gagnant_au_rang11_en_europe;rapport_du_rang11;nombre_de_gagnant_au_rang12_en_france;nombre_de_gagnant_au_rang12_en_europe;rapport_du_rang12;nombre_de_gagnant_au_rang13_en_france;nombre_de_gagnant_au_rang13_en_europe;rapport_du_rang13;numero_My_Million;devise;
2016077;VENDREDI;23/09/16;23/11/16;14;39;42;49;16;9;3;-14-16-39-42-49-;-3-9-;1;1;23850387;1;6;221259,6;5;11;40229;12;42;5268;146;831;232,9;303;1573;123;454;2433;56,8;6964;37391;17;6441;37525;16,2;12124;70992;14,4;38842;206354;8,7;101401;570692;8,5;192880;1084325;4,5;PQ5913073;eur;
2016076;MARDI   ;20/09/2016;20/11/2016;45;41;4;1;10;9;6;-1-4-10-41-45-;-6-9-;0;0;0;0;2;446188,1;0;5;59491,7;4;26;5720,3;102;486;267,7;192;1073;121,2;258;1344;69,1;4118;22413;19;4598;24488;16,7;9430;50609;13,5;22551;125378;9,6;72409;387604;8,4;146543;780334;4,2;MW1931385;eur;
2016075;VENDREDI;16/09/2016;16/11/2016;32;5;22;8;14;2;11;-5-8-14-22-32-;-2-11-;0;1;39758892;0;5;281165,6;0;18;26033,8;9;53;4420,8;254;1299;157,8;616;2886;71;494;2236;65,4;6620;31711;21,2;10534;50649;12,7;24723;115845;9,3;30700;152928;12,4;135745;660389;7,8;312838;1478993;3,5;EO2795769;eur;
2016074;MARDI   ;13/09/2016;13/11/2016;44;16;4;7;35;3;1;-4-7-16-35-44-;-1-3-;0;0;0;0;2;486020,2;2;6;54002,2;6;33;4909,2;137;721;196,6;276;1512;93,7;272;1543;65,6;4188;23088;20,1;5579;30788;14,4;11342;63123;11,8;23190;125001;10,5;83797;457369;7,7;166451;921219;3,9;MN6024515;eur;
2016073;VENDREDI;09/09/2016;09/11/2016;28;4;11;17;15;1;3;-4-11-15-17-28-;-1-3-;0;0;0;2;5;267192,9;2;22;20241,8;19;86;2589;368;1601;121,6;716;3121;62,4;743;3342;41,6;8873;42091;15,2;12723;59311;10,3;24522;116032;8,8;35436;182659;9,9;147286;726434;6,7;280046;1414011;3,5;IM4410967;eur;
2016072;MARDI   ;06/09/2016;06/11/2016;45;12;34;24;30;7;10;-12-24-30-34-45-;-7-10-;0;0;0;0;0;0;0;3;397404,9;3;18;8279,2;114;597;218,4;200;1164;112;246;1290;72,2;3631;18403;23,2;5082;27416;14,9;10168;56294;12,2;19469;97750;12,3;75228;393013;8,3;149169;805392;4,1;SR6936620;eur;
2016071;VENDREDI;02/09/2016;02/11/2016;50;40;16;32;8;2;11;-8-16-32-40-50-;-2-11-;0;5;7840860;2;9;153095,1;4;21;21870,7;8;62;3703,9;183;1329;151,1;490;3253;61,7;323;1938;74;4601;27036;24,4;6256;39257;16;13821;84130;12,6;25465;145769;12,8;94295;559203;9;208297;1202683;4,2;KA8553605;eur;
2016070;MARDI   ;30/08/2016;30/10/2016;29;42;13;16;35;6;8;-13-16-29-35-42-;-6-8-;0;0;0;2;6;156756,5;1;5;62702,6;9;39;4019,3;131;730;187,8;208;1351;101,5;319;1706;57,4;4465;24722;18,2;5249;29884;14,4;10015;57774;12,5;23349;127940;9,9;76886;432657;7,9;150038;842183;4,1;AX1558028;eur;
2016069;VENDREDI;26/08/2016;26/10/2016;48;9;30;28;1;7;8;-1-9-28-30-48-;-7-8-;0;0;0;0;6;218708,1;3;9;48601,8;8;49;4463,4;192;962;198,9;340;1717;111,4;338;1918;71,2;5357;29949;20,9;8575;43710;13,7;14568;79654;12,6;27975;158445;11,2;123057;646104;7,4;207773;1158861;4,2;RW0333550;eur;
2016068;MARDI   ;23/08/2016;23/10/2016;2;31;45;37;23;8;4;-2-23-31-37-45-;-4-8-;0;0;0;0;3;293780,6;2;6;48963,4;3;28;5246;106;519;247,6;190;1053;122;244;1518;60,4;4023;23770;17,7;4051;24230;16,6;8350;49208;13,8;22688;128143;9,3;62851;368072;8,7;127946;750100;4,4;OU7851873;eur;
2016067;VENDREDI;19/08/2016;19/10/2016;22;6;5;25;34;7;5;-5-6-22-25-34-;-5-7-;0;1;54894441;2;9;157672;1;6;78836;11;77;3071,5;171;1083;191;311;1843;112,2;669;4164;35,4;11156;60222;11,2;9526;54007;12;15189;88430;12,3;53422;287782;6,6;138618;771820;6,7;221977;1275113;4,1;EQ6517044;eur;
