annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numero_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Millions
2016078;MARDI   ;27/09/2016;1;27/11/2016;41;6;13;39;9;2;12;-6-9-13-39-41-;-2-12-;0;0;0;1;3;293260,3;1;7;29272,9;4;21;4772,7;89;536;199,4;129;877;170,1;268;1554;54,4;2243;13715;28,4;4418;25400;16,2;12570;72147;10,8;11123;70688;15,5;63749;368993;8,9;183185;1018716;3,9;1;3849,8;0;0;23;62,4;45;21,7;592;5,6;1188;3,2;3205;4,1;5098;16,9;17703;2,2;144546;2,9;AZ3618164;;
2016079;VENDREDI;30/09/2016;Super Jackpot et tirages suivants;30/11/2016;35;44;17;37;43;10;2;-17-35-37-43-44-;-2-10-;0;0;0;1;6;404891,9;2;15;37721,5;21;84;3294,7;395;1516;194,7;859;3493;117,9;850;3456;67,6;13114;51239;21;17745;71403;15,9;41354;169033;12,7;69216;269403;11,3;250258;1031101;8,8;582014;2427770;4,6;0;0;4;3691,8;86;38,9;187;17,8;3099;3,6;4112;3,2;16512;2,7;28806;10,2;58056;2,3;589163;2,4;NX3824249;;
2016080;MARDI   ;04/10/2016;Super Jackpot et tirages suivants;04/12/2016;4;38;7;14;34;4;11;-4-7-14-34-38-;-4-11-;0;0;0;4;7;225641,2;2;11;33443,7;12;56;3213,2;284;1345;142,7;476;2483;107,8;638;2789;54,4;7116;34247;20,4;13062;58969;12,5;28135;126962;11;35639;172852;11,4;169968;764835;7,7;391880;1770619;4,1;4;2329,7;4;278,1;86;27,4;135;17,5;2049;3,9;3756;2,4;10108;3,2;16009;13;49759;1,9;371589;2,7;PW2355387;;
2016081;VENDREDI;07/10/2016;Super Jackpot et tirages suivants;07/12/2016;12;30;27;20;2;11;9;-2-12-20-27-30-;-9-11-;0;0;0;4;11;195998;7;19;26429;10;73;3364,6;482;1955;134;726;3307;110,5;1416;5316;39;9027;43532;21,9;18527;77663;13;49629;194837;9,8;44617;223669;12;232149;1029488;7,8;605585;2520927;3,9;1;11899,3;2;710,4;134;22,5;185;16,3;2391;4,3;5016;2,3;11840;3,4;19471;13,6;62411;1,9;469756;2,7;MT7347219;;
2016082;MARDI   ;11/10/2016;1;11/12/2016;12;37;20;24;5;4;11;-5-12-20-24-37-;-4-11-;0;1;168085323;0;10;183627,4;3;12;35640,7;17;67;3122,3;393;1558;143,2;600;2823;110,3;937;3832;46;7664;38295;21,2;14488;63646;13,5;36222;156594;10,3;39058;196862;11,6;186619;861521;8;467184;2102915;4;0;0;3;3606,4;90;27,2;202;12,1;2054;4;3998;2,4;10849;3;17028;12,7;50933;1,9;385408;2,7;EB5173347;;
2016083;VENDREDI;14/10/2016;2;14/12/2016;31;34;19;7;13;11;1;-7-13-19-31-34-;-1-11-;0;0;0;0;5;258506,3;4;14;21503,2;10;60;2454,1;246;1199;130,9;473;2115;103,6;752;3612;34,4;6087;27405;20,8;10648;46352;13;29790;130326;8,7;28847;135541;11,9;136601;606634;8;378315;1654340;3,6;0;0;3;2733,6;77;24,1;140;13,2;1716;3,6;3050;2,4;8220;3;12492;13,1;39045;1,9;269119;2,9;KG2248583;;
2016084;MARDI   ;18/10/2016;3;18/12/2016;2;25;17;21;27;9;6;-2-17-21-25-27-;-6-9-;0;0;0;0;0;0;0;6;177605;8;52;1893,5;186;844;124,4;398;1907;76,8;380;1853;44,8;5163;25866;14,8;7342;33852;11,9;15669;73828;10,3;25416;127668;8,4;98149;464657;6,9;209374;996771;4;0;0;4;1387,9;52;24,2;133;9,4;1538;2,7;2181;2,2;7517;2,2;11379;9,7;29394;1,7;214778;2,5;JN1116420;;
2016085;VENDREDI;21/10/2016;4;21/12/2016;48;9;23;20;44;10;8;-9-20-23-44-48-;-8-10-;0;0;0;2;3;408989,5;1;10;28577,5;8;36;3882,8;139;846;176,2;389;1591;130,8;368;1806;65,3;5753;24943;21,7;7289;35930;15,9;17858;85437;12,7;26465;128187;11,9;113538;544209;8,4;278542;1289660;4,3;0;0;2;3627,4;36;45,6;96;17,1;1571;3,5;1956;3,3;7219;3,1;11396;12,7;30768;2,1;260881;2,7;EI0069459;;
2016086;MARDI   ;25/10/2016;1;25/12/2016;28;15;21;3;20;5;1;-3-15-20-21-28-;-1-5-;0;1;50108729;2;6;156002,2;0;9;24223,1;16;50;2132,6;196;966;117,7;437;2108;75,3;413;1906;47,2;5363;26486;15,6;8161;39698;11;16904;78814;10,5;25114;125501;9,3;102258;517974;6,7;212805;1042087;4,1;0;0;5;1077,4;60;20,3;128;9,5;1445;2,8;2294;2;7007;2,3;10045;10,7;28584;1,7;204729;2,5;DI4516189;;
2016087;VENDREDI;28/10/2016;1;28/12/2016;23;43;10;19;16;8;2;-10-16-19-23-43-;-2-8-;0;1;17375733;1;5;317750,6;2;8;46254,8;37;112;1616;363;1332;144,9;1265;4187;64,3;885;2846;53,7;16218;55816;12,6;17466;59837;12,4;37752;127410;11;76709;273843;7,2;240934;834733;7,1;507818;1759886;4,1;0;0;15;765,5;96;27,1;329;7,9;4046;2,1;4282;2,3;19306;1,8;28961;7,9;60490;1,7;439687;2,5;JC8700352;F TJX 18583,F FMN 69169,F DRS 96604,F WBC 50471,F GXR 37189,F CLN 76899,F JPC 95117,F VZX 54546,E BBJ 52275,E BBW 92585,E BCZ 24806,E BCD 54048,L LRJ 39187,L LRJ 89890,L LRH 01111,B BCT 05888,B BNG 31881,B BNL 07167,B BNJ 32351,S NNR 90606,P DTH 18475,P DMN 18458,H MDC 75349,M NDP 45508,V NDN 45602;
