annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numero_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million;
2020009;VENDREDI;31/01/2020;2;01/04/2020;20;23;13;30;18;2;4;-13-18-20-23-30-;-2-4-;0;0;0;4;0;90934,6;9;0;14119,8;6;0;2645;294;0;109,3;553;0;71,9;533;0;42;6648;0;15,4;10088;0;10,9;20560;0;9,8;30517;0;9,2;126309;0;6,7;257549;0;3,9;2;2927,5;1;699,1;83;17,8;147;10,1;1918;2,6;2975;1,9;8692;2,3;12653;10,3;36486;1,6;253612;2,5;TZ 666 3065;;
2020008;MARDI   ;28/01/2020;1;29/03/2020;31;27;1;19;38;5;4;-1-19-27-31-38-;-4-5-;0;0;0;2;2;380558,4;1;2;88636,3;8;29;2989,9;111;564;163,9;218;1204;107,2;242;1125;65;3417;17912;18,8;5320;27327;13;11339;55691;12,1;17795;93807;10,1;77279;399108;7,1;159909;801735;4,3;1;4170,1;3;165,9;35;30,2;69;15,3;1060;3,4;1629;2,5;5255;2,7;8629;10,8;23836;1,7;190247;2,4;HK 932 8852;;
2020007;VENDREDI;24/01/2020;2;25/03/2020;9;6;4;3;24;8;5;-3-4-6-9-24-;-5-8-;0;1;28601720;0;5;212161;1;12;20589,4;31;97;1245,8;314;1304;98,8;713;3192;56,3;772;3205;31,8;7855;38557;12,1;10782;48109;10,3;25687;107815;8,7;36681;191616;6,9;121412;590286;6,7;268165;1252672;3,9;0;0;10;622,4;89;15,8;188;7,5;2236;2,1;3078;1,8;10431;1,8;15743;7,9;34842;1,6;234027;2,6;OX 006 7522;;
2020006;MARDI   ;21/01/2020;1;22/03/2020;36;10;24;11;46;3;5;-10-11-24-36-46-;-3-5-;0;0;0;0;3;256141,5;1;5;35794,9;1;21;4168,6;100;474;197;254;1333;97,7;177;983;75,2;4522;22813;14,9;4678;24456;14,7;9290;47953;14,1;24848;127338;7,5;72834;374176;7,7;144776;732557;4,8;0;0;0;0;29;201,1;73;14,7;1301;2,8;1364;3,1;7255;2;11829;8;21899;1,9;198757;2,3;GU 465 7946;;
2020005;VENDREDI;17/01/2020;9;18/03/2020;20;8;29;44;19;8;3;-8-19-20-29-44-;-3-8-;0;1;100779289;0;4;349306;3;5;65085,8;17;64;2487,1;231;1164;145,8;707;3451;68,6;464;2256;59,5;9628;48159;12,8;11948;54426;12;22311;106522;11,6;42103;220155;7,9;160422;763017;6,8;304361;1491899;4,3;0;0;3;2671,1;65;27,9;201;9;2703;2,2;3328;2,1;11542;2,1;16233;9,8;45213;1,6;311186;2,5;PC 104 6310;;
2020004;MARDI   ;14/01/2020;8;15/03/2020;25;39;21;44;29;9;8;-21-25-29-39-44-;-8-9-;0;0;0;0;4;259044,3;0;5;48267,5;3;19;6212,9;127;735;171,3;271;1469;119,6;247;1385;71,9;3871;21378;21,4;6066;33632;14,4;12451;67915;13,5;21174;114796;11,3;94023;505479;7,7;194430;1023981;4,6;0;0;0;0;41;182,6;88;15,7;1100;4,2;1762;3;6199;3;10254;11,9;27199;2;251974;2,3;FN 834 0132;;
2020003;VENDREDI;10/01/2020;7;11/03/2020;32;44;17;6;46;2;6;-6-17-32-44-46-;-2-6-;0;0;0;0;2;644307;2;5;60026,5;8;54;2718,5;183;944;165,8;425;2310;94,6;342;2075;59,7;7160;34755;16,4;8071;41192;14,6;15959;88541;12,8;39742;188097;8,5;118711;600962;8;236777;1272032;4,6;0;0;2;3733,6;47;36;118;14,3;1946;2,9;2295;2,9;10982;2,1;17883;8,3;33704;2;311733;2,3;WE 473 2441;;
2020002;MARDI   ;07/01/2020;6;08/03/2020;8;37;12;5;43;11;6;-5-8-12-37-43-;-6-11-;0;0;0;1;2;472957,8;7;17;12959,6;6;28;3848,6;122;673;170,7;282;1359;118;342;1479;61,5;4348;19964;20,9;6308;29548;14,9;15942;73786;11,3;20858;103598;11,4;89042;431059;8,2;223858;1059296;4,1;0;0;3;1887,7;32;40,1;85;15,1;1318;3,3;1829;2,7;6221;2,8;9610;11,7;26096;1,9;203881;2,7;OO 340 8800;;
2020001;VENDREDI;03/01/2020;5;04/03/2020;15;5;20;47;36;12;8;-5-15-20-36-47-;-8-12-;0;0;0;1;5;224420,6;0;8;32668,8;3;26;4916,7;111;710;192;231;1294;147;272;1696;63,6;3124;18386;27;5559;30832;17;14861;79892;12,4;17379;98325;14,3;84669;457864;9,2;230723;1184249;4,3;1;5764,4;1;688,2;39;37,5;62;23,5;929;5,3;1604;3,5;5169;3,8;8563;15;24458;2,4;226651;2,7;JJ 108 2545;;
2019105;MARDI   ;31/12/2019;4;01/03/2020;41;31;48;33;26;4;2;-26-31-33-41-48-;-2-4-;0;0;0;0;2;641759,5;0;6;49824,3;7;36;4061,7;145;823;189,5;276;1696;128,3;312;1704;72,4;4533;26542;21,4;5792;35939;16,7;12509;78300;14,5;27260;152760;10,5;93057;553146;8,7;201316;1204239;4,9;0;0;3;2312,3;35;44,9;81;19,4;1303;4,1;1670;3,7;7689;2,8;15026;9,2;26472;2,3;304049;2,2;WE 440 6224;;
2019104;VENDREDI;27/12/2019;3;26/02/2020;22;26;35;7;1;5;10;-1-7-22-26-35-;-5-10-;0;0;0;0;2;512121;1;9;26506,4;6;31;3764;157;725;171,6;295;1507;115,2;399;1838;53,6;4289;22757;19,9;6785;34192;14;17008;80968;11,2;21171;117869;10,8;98807;498203;7,7;242234;1162951;4;0;0;1;5954,4;48;28,1;84;16;1222;3,7;1966;2,7;6118;3;9772;12,1;27961;1,9;215879;2,7;GJ 753 0795;;
2019103;MARDI   ;24/12/2019;2;23/02/2020;47;14;11;13;3;3;6;-3-11-13-14-47-;-3-6-;0;0;0;0;1;958335,1;2;4;55801,7;9;45;2426,1;158;770;151,2;533;2204;73,7;303;1531;60,2;7325;31898;13,3;8269;38449;11,6;15375;74332;11,4;33851;150061;8;112016;539471;6,6;217369;1061792;4,1;0;0;3;1833,4;42;29,6;157;7,9;2048;2;2438;2;9293;1,8;13129;8,3;31450;1,5;209295;2,5;GN 083 8517;;
2019102;VENDREDI;20/12/2019;1;19/02/2020;8;24;32;34;30;3;4;-8-24-30-32-34-;-3-4-;0;0;0;1;1;1041516,4;1;3;80860,3;7;37;3206,8;110;647;195,6;288;1595;110,7;247;1384;72,3;4282;22516;20,4;6794;35481;13,7;12958;69386;13,3;23102;118818;10,9;101783;512263;7,6;194910;1015412;4,7;1;5506,8;3;219,1;34;41;65;21,4;1128;4,2;1830;3;6238;3;10567;11,6;28034;2;268171;2,2;MR 287 5598;;
2019101;MARDI   ;17/12/2019;4;16/02/2020;7;1;12;25;49;9;6;-1-7-12-25-49-;-6-9-;0;1;48949099;0;2;436114,3;2;14;14510,8;14;69;1440,1;203;1037;102,2;453;2013;73,4;479;2427;34,5;5343;26312;14,6;8150;35889;11,3;17583;79871;9,6;24515;128030;8,5;96705;462960;7;209447;1012572;3,9;0;0;1;5094,6;54;21,3;115;10;1529;2,5;2354;1,9;7079;2,2;10470;9,7;28255;1,6;195137;2,5;HC 922 2192;;
2019100;VENDREDI;13/12/2019;3;12/02/2020;16;9;23;18;32;2;10;-9-16-18-23-32-;-2-10-;0;0;0;3;3;414803,4;2;11;26348,8;12;51;2779,7;302;1106;136,7;513;1909;110,5;704;2723;43,9;7308;27182;20,2;11451;44936;12,9;27648;110577;9,9;36499;136013;11,4;153432;602141;7,7;369553;1467123;3,9;1;7680,1;4;229,2;86;22,6;138;14,1;2014;3,3;3012;2,5;9996;2,6;15977;10,7;40788;1,9;313361;2,6;ID 311 4480;;
2019099;MARDI   ;10/12/2019;2;09/02/2020;19;47;21;2;10;8;2;-2-10-19-21-47-;-2-8-;0;0;0;0;0;0;2;4;248010,2;8;53;1729,5;182;832;117,5;493;2188;62,3;348;1567;49,3;6144;28972;12,3;6957;31627;11,9;13556;63488;11,2;28654;140485;7,1;87921;421035;7,1;175854;868710;4,2;0;0;4;1201,6;47;23,1;145;7,5;1861;1,9;2043;2,1;8737;1,7;12580;7,6;26328;1,6;184546;2,5;IE 414 9365;;
2019098;VENDREDI;06/12/2019;1;05/02/2020;46;1;39;3;27;1;10;-1-3-27-39-46-;-1-10-;0;0;0;0;2;520640,3;0;2;121263;4;16;7414,1;104;617;205;254;1267;139,4;305;1609;62,2;3643;18726;24,6;5790;29386;16,5;14805;75604;12,2;19327;99123;13,1;88178;438621;8,9;220655;1111230;4,3;0;0;2;3082,7;29;48,1;86;16,2;1070;4,4;1725;3,1;5741;3,3;8864;13,9;25335;2,2;212067;2,8;OU 443 6769;;
2019097;MARDI   ;03/12/2019;4;02/02/2020;32;31;38;18;48;12;4;-18-31-32-38-48-;-4-12-;0;1;48061132;0;1;883408,7;0;4;51438,9;2;25;4025,6;65;455;235,9;144;1005;149;177;1152;73,7;2354;14591;26,8;4079;23817;17,3;9866;58409;13,4;12511;76990;14,3;58057;338132;9,8;150847;853294;4,7;0;0;1;4996,2;21;53,9;37;30,6;743;5,2;1223;3,6;3783;4,1;6906;14,4;17171;2,6;184426;2,6;FT 084 2491;;
2019096;VENDREDI;29/11/2019;3;29/01/2020;50;42;12;3;7;6;8;-3-7-12-42-50-;-6-8-;0;0;0;0;2;572142;0;5;53303,3;8;39;3342,6;163;850;163,5;448;2039;95,1;429;2056;53,5;6511;30490;16,6;8350;41699;12,8;19062;95157;10,6;31711;154348;9,2;117758;591932;7,2;259718;1314220;4;0;0;1;6294,6;46;31;112;12,7;1784;2,7;2328;2,4;8668;2,2;13385;9,4;32821;1,7;242687;2,5;QM 284 2128;;
2019095;MARDI   ;26/11/2019;2;26/01/2020;34;3;15;2;19;5;8;-2-3-15-19-34-;-5-8-;0;0;0;1;4;203096,8;2;6;31535,7;7;40;2313,7;109;599;164,8;375;1872;73,6;214;1224;63,8;5209;28500;12,6;5178;28745;13,2;11185;59498;12;26534;145869;6,9;78204;427584;7,1;168884;878486;4,2;0;0;4;1148,4;33;31,5;99;10,5;1489;2,3;1502;2,7;7511;1,9;11590;7,9;22882;1,8;176469;2,5;JF 935 4354;;
2019094;VENDREDI;22/11/2019;1;22/01/2020;3;48;32;34;21;3;11;-3-21-32-34-48-;-3-11-;0;0;0;0;4;265646,8;1;6;41248,1;1;28;4323,3;105;736;175,4;261;1473;122,3;276;1706;59,9;3832;20911;22,5;5789;33185;14,9;12190;70798;13,2;21036;111809;11,9;85913;471530;8,4;187305;1024308;4,7;0;0;1;6066,9;23;59,7;71;19,3;1087;4,3;1677;3,2;6165;3;10455;11,6;23965;2,3;237080;2,5;TS 660 1884;;
2019093;MARDI   ;19/11/2019;12;19/01/2020;10;15;42;30;8;4;6;-8-10-15-30-42-;-4-6-;0;1;122766852;1;3;394582,9;0;13;21208,3;4;50;2697,1;188;980;146,7;534;2503;80,2;342;2139;53,2;6834;33133;15,8;8200;42830;12,9;17769;94664;11;34932;165627;8,9;110638;586347;7,5;242131;1299039;4,2;1;5479,6;0;0;47;43,5;148;9,3;1878;2,5;2200;2,4;9746;1,9;14750;8,3;30617;1,8;233826;2,5;VF 071 2201;;
2019092;VENDREDI;15/11/2019;11;15/01/2020;20;13;34;3;32;4;11;-3-13-20-32-34-;-4-11-;0;0;0;1;11;131335;1;10;33648,3;8;37;4448,2;164;974;180,2;314;2043;119,9;458;2402;57,8;5015;29316;21,8;7852;44697;15,1;20181;109171;11,7;26202;153744;11,7;119508;651616;8,3;304125;1604609;4,1;0;0;1;7664,3;45;38,6;69;25,1;1394;4,2;2036;3,3;7304;3,2;11976;12,7;32475;2,1;278190;2,6;AA 139 3973;;
