annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;numero_jokerplus;devise;
2019131;SAMEDI  ;02/11/2019;02/01/2020;41;1;18;16;13;3;1-13-16-18-41+3;0;10000000;0;100000;107;1000;764;500;3095;50;26407;20;42456;10;355666;5;514899;2,2;10;20000;S 7575 9018,L 4733 4748,F 4750 6953,E 9002 2126,C 2856 2591,U 4179 3024,Q 1045 8930,C 8932 9146,W 1975 9673,D 2346 1591;4 731 738;eur;
2019130;MERCREDI;30/10/2019;30/12/2019;46;13;48;2;22;1;2-13-22-46-48+1;0;9000000;1;100000;35;1000;371;500;1510;50;17862;20;21631;10;256767;5;282563;2,2;10;20000;J 6665 7233,V 2466 6648,G 5586 5434,C 1036 4388,I 3090 3606,N 9920 6725,F 1697 8330,S 0474 6617,P 5737 5895,L 3334 9593;1 651 848;eur;
2019129;LUNDI   ;28/10/2019;28/12/2019;46;17;36;35;18;4;17-18-35-36-46+4;0;8000000;0;100000;18;1000;183;500;934;50;9314;20;17172;10;159570;5;292818;2,2;10;20000;B 1568 6516,H 5046 7935,F 2055 6917,U 1424 9860,K 3279 1873,V 5228 5980,O 3302 6875,T 7265 6138,N 4527 9113,N 7244 5149;8 110 852;eur;
2019128;SAMEDI  ;26/10/2019;26/12/2019;11;30;44;13;20;9;11-13-20-30-44+9;0;7000000;2;100000;65;1000;643;500;3221;50;28982;20;40432;10;381579;5;468489;2,2;10;20000;R 5527 0834,K 3728 1597,B 6772 7353,D 5835 6003,B 5459 9090,I 5383 3350,N 8438 7910,P 2699 8564,N 6645 3544,E 1730 4520;9 094 810;eur;
2019127;MERCREDI;23/10/2019;23/12/2019;49;44;31;33;40;1;31-33-40-44-49+1;0;6000000;1;100000;20;1000;314;500;1189;50;12633;20;16840;10;188559;5;277243;2,2;10;20000;G 2383 0052,U 0447 9543,G 6970 5725,C 6428 5840,J 6000 4714,H 2920 2080,L 7331 0673,C 8624 6219,P 8507 4597,Q 9238 1786;8 563 924;eur;
2019126;LUNDI   ;21/10/2019;21/12/2019;13;42;40;48;3;4;3-13-40-42-48+4;0;5000000;0;100000;23;1000;267;500;1227;50;12423;20;18457;10;182901;5;277865;2,2;10;20000;B 3535 0981,H 5092 8234,J 9599 9952,W 1927 7425,S 8787 2801,O 6935 7892,O 4581 6491,M 2050 8663,R 2820 9048,I 4733 4592;4 036 881;eur;
2019125;SAMEDI  ;19/10/2019;19/12/2019;36;23;24;31;32;8;23-24-31-32-36+8;0;4000000;1;100000;35;1000;327;500;1886;50;15807;20;32664;10;276712;5;497689;2,2;10;20000;K 0265 0369,K 0326 7974,G 8309 8117,O 1757 3805,T 0803 2532,G 0436 4114,G 3046 3717,C 7744 6926,C 2214 4784,U 0907 1459;4 731 590;eur;
2019124;MERCREDI;16/10/2019;16/12/2019;19;30;5;18;35;2;5-18-19-30-35+2;0;3000000;3;100000;26;1000;332;500;1517;50;17471;20;22946;10;258240;5;286251;2,2;10;20000;V 6347 9513,V 6184 9790,B 3056 7815,S 7460 2067,Q 4283 8314,A 4625 2097,C 3559 6888,N 7960 3826,P 4102 5778,F 3802 6966;3 243 390;eur;
2019123;LUNDI   ;14/10/2019;14/12/2019;16;48;18;24;6;9;6-16-18-24-48+9;0;2000000;2;100000;36;1000;331;500;1551;50;15374;20;20504;10;202060;5;261807;2,2;10;20000;T 3684 7131,K 6974 3188,O 4435 7780,G 1781 1811,K 1366 3336,O 2474 0744,E 6211 5600,C 4679 3966,O 7011 1752,L 2061 6221;3 380 235;eur;
2019122;SAMEDI  ;12/10/2019;12/12/2019;27;16;12;37;10;9;10-12-16-27-37+9;1;2000000;1;100000;60;1000;663;500;3093;50;29147;20;39936;10;381175;5;459399;2,2;10;20000;A 9794 1637,E 7944 6128,U 5445 5949,T 9130 7090,K 2748 3363,L 1757 4388,S 1454 7672,C 1083 3726,D 0215 8664,I 7292 1976;5 864 246;eur;
2019121;MERCREDI;09/10/2019;09/12/2019;14;39;17;44;36;5;14-17-36-39-44+5;1;4000000;2;100000;34;1000;304;500;1685;50;13986;20;26129;10;209914;5;438985;2,2;10;20000;R 1111 1645,W 1887 3071,E 0356 5175,U 4108 2774,I 0619 4258,E 3680 6741,B 4756 4297,S 7679 9225,E 0347 5841,G 9437 9503;2 745 587;eur;
2019120;LUNDI   ;07/10/2019;07/12/2019;19;4;2;35;11;5;2-4-11-19-35+5;0;3000000;1;100000;56;1000;358;500;2326;50;17253;20;28563;10;219585;5;325406;2,2;10;20000;P 2199 6403,O 1194 4881,H 3038 6943,U 3541 1456,V 4700 7039,T 1740 4530,R 7216 9951,P 6949 1401,M 4822 8233,Q 3442 0723;9 036 743;eur;
2019119;SAMEDI  ;05/10/2019;05/12/2019;30;2;38;16;31;5;2-16-30-31-38+5;0;2000000;2;100000;56;1000;333;500;2373;50;18398;20;37879;10;291777;5;573078;2,2;10;20000;Q 1415 0323,H 2704 1910,A 9021 3474,R 6262 5028,T 6225 5803,G 7832 8743,R 3499 7317,F 7541 8962,L 0336 9273,G 6693 2637;3 209 042;eur;
2019118;MERCREDI;02/10/2019;02/12/2019;33;37;32;35;49;3;32-33-35-37-49+3;1;2000000;1;100000;43;1000;270;500;1366;50;11227;20;20134;10;171306;5;392330;2,2;10;20000;D 8760 5664,J 7443 4687,G 7363 2940,N 9045 2567,V 4591 4301,D 5283 8027,J 6453 0597,S 7152 9466,O 6363 5048,R 3353 5990;0 067 189;eur;
2019117;LUNDI   ;30/09/2019;30/11/2019;43;2;33;23;47;2;2-23-33-43-47+2;2;1000000;3;100000;28;1000;238;500;1123;50;11337;20;15879;10;162977;5;236126;2,2;10;20000;F 9755 1382,P 9930 0295,L 0862 4906,C 0384 1915,D 5055 7783,T 8510 2777,D 4191 6180,E 2628 0830,B 9737 0059,B 5075 4144;3 047 956;eur;
2019116;SAMEDI  ;28/09/2019;28/11/2019;18;15;12;19;40;5;12-15-18-19-40+5;1;20000000;2;100000;72;1000;631;500;3883;50;30140;20;57467;10;443171;5;676530;2,2;10;20000;C 6109 5615,V 5826 4792,G 7312 2043,O 8044 2055,P 5458 2289,V 3724 4958,F 7840 1161,Q 4797 6484,D 7465 2827,T 9819 7216;2 605 465;eur;
2019115;MERCREDI;25/09/2019;25/11/2019;7;1;26;22;15;3;1-7-15-22-26+3;0;19000000;4;100000;95;1000;924;500;3587;50;31101;20;43584;10;366349;5;463419;2,2;10;20000;M 2735 3129,E 8429 8214,U 1573 2301,L 4194 1027,T 7039 2128,H 3620 7957,G 5959 5418,C 6702 1251,A 5013 4917,V 3489 3382;3 504 168;eur;
2019114;LUNDI   ;23/09/2019;23/11/2019;36;20;42;34;29;4;20-29-34-36-42+4;0;18000000;4;100000;21;1000;236;500;1368;50;12704;20;21817;10;196761;5;355980;2,2;10;20000;D 9154 4388,M 7305 9025,Q 3531 9565,N 7165 0263,H 3677 4300,T 7474 5807,H 7444 4637,P 5952 2854,H 4679 8713,S 4536 7010;0 483 969;eur;
2019113;SAMEDI  ;21/09/2019;21/11/2019;15;42;41;44;8;10;8-15-41-42-44+10;0;17000000;3;100000;43;1000;404;500;2015;50;22352;20;30668;10;348386;5;462035;2,2;10;20000;A 7015 5395,I 1075 9426,L 2853 3832,D 3927 2134,J 3633 2629,N 2812 5750,Q 9858 7930,F 6210 4020,I 8576 5761,J 9635 8777;2 474 644;eur;
2019112;MERCREDI;18/09/2019;18/11/2019;16;6;36;5;3;10;3-5-6-16-36+10;0;16000000;3;100000;48;1000;485;500;2020;50;23715;20;27709;10;326795;5;342710;2,2;10;20000;D 2554 5562,A 3378 7208,A 9623 9752,I 0450 3346,O 6242 9681,O 3045 1908,B 1434 3967,E 1073 6448,D 3881 4897,R 1627 1729;0 560 191;eur;
2019111;LUNDI   ;16/09/2019;16/11/2019;42;35;31;32;13;5;13-31-32-35-42+5;0;15000000;1;100000;29;1000;306;500;1650;50;13304;20;25190;10;201812;5;405327;2,2;10;20000;C 4004 0218,A 4424 2937,G 9580 6347,B 5681 5039,M 4684 8983,L 3792 6773,N 5446 5371,B 3204 4165,H 9270 4672,C 5311 7788;2 766 592;eur;
2019110;SAMEDI  ;14/09/2019;14/11/2019;28;23;18;26;19;9;18-19-23-26-28+9;0;14000000;2;100000;82;1000;710;500;3197;50;28885;20;43101;10;399161;5;507956;2,2;10;20000;C 7365 0918,P 9190 4474,A 2660 2485,I 3995 7464,H 8284 0831,F 9672 8802,H 8920 2392,B 2754 2880,L 5134 6980,U 3900 6429;6 126 912;eur;
2019109;MERCREDI;11/09/2019;11/11/2019;35;19;6;27;14;10;6-14-19-27-35+10;0;3000000;3;100000;31;1000;470;500;1487;50;19611;20;20653;10;255996;5;256015;2,2;10;20000;B 5787 2146,L 6296 8852,G 6902 1138,D 5770 3044,K 8384 3933,D 2225 6759,N 5156 1461,C 3035 4949,G 2270 4623,W 1727 4921;7 918 790;eur;
2019108;LUNDI   ;09/09/2019;09/11/2019;42;2;44;28;5;8;2-5-28-42-44+8;0;2000000;1;100000;24;1000;200;500;1383;50;11775;20;20652;10;179309;5;270522;2,2;10;20000;F 0046 6549,Q 2730 0514,T 2524 6829,U 8938 5620,H 6102 0920,A 6104 6071,B 9888 8833,O 2718 9764,T 9976 9554,A 4875 4966;0 223 025;eur;
2019107;SAMEDI  ;07/09/2019;07/11/2019;16;12;27;30;2;2;2-12-16-27-30+2;1;5000000;9;100000;83;1000;924;500;3275;50;32185;20;38061;10;386465;5;401800;2,2;10;20000;S 6524 5605,C 1350 0383,A 7084 1647,B 8614 1198,F 4091 2450,S 3607 2863,M 0738 3761,I 4662 4101,Q 7133 4123,P 4958 5439;2 995 637;eur;
2019106;MERCREDI;04/09/2019;04/11/2019;25;2;4;7;35;3;2-4-7-25-35+3;0;4000000;1;100000;34;1000;404;500;2150;50;19812;20;29658;10;263733;5;365129;2,2;10;20000;L 9533 5827,M 0564 9244,K 5516 8814,P 6236 9249,W 1695 9357,M 0372 2125,P 4797 8729,O 9922 9845,G 9188 0302,W 1705 1341;6 167 872;eur;
2019105;LUNDI   ;02/09/2019;02/11/2019;6;2;44;33;21;4;2-6-21-33-44+4;0;3000000;1;100000;26;1000;227;500;1199;50;12066;20;18583;10;179783;5;260433;2,2;10;20000;O 4417 3687,B 8533 5255,F 2723 1253,L 6475 1738,H 4682 0885,E 0383 8707,D 0703 5626,M 2537 7015,L 2319 0175,N 7518 3651;4 976 033;eur;
2019104;SAMEDI  ;31/08/2019;31/10/2019;47;21;25;19;38;4;19-21-25-38-47+4;0;2000000;2;100000;41;1000;426;500;1985;50;18881;20;29891;10;280914;5;434269;2,2;10;20000;F 4952 7994,T 6495 6639,F 2354 3400,R 8351 9854,T 0015 8585,J 0190 5343,U 9189 3878,T 9636 6551,V 1620 8523,J 8502 4463;9 701 556;eur;
2019103;MERCREDI;28/08/2019;28/10/2019;14;25;47;7;42;5;7-14-25-42-47+5;1;3000000;3;100000;52;1000;398;500;2213;50;16251;20;29489;10;225793;5;383239;2,2;10;20000;G 9695 7590,H 6279 8110,I 1892 3352,Q 2649 8806,K 9863 0413,O 2202 0328,T 6007 1227,Q 8605 2274,D 4372 1711,Q 5362 6015;7 329 345;eur;
2019102;LUNDI   ;26/08/2019;26/10/2019;4;21;46;27;47;6;4-21-27-46-47+6;0;2000000;0;100000;34;1000;216;500;1090;50;10075;20;16765;10;157788;5;237594;2,2;10;20000;E 4399 9722,Q 4245 3154,D 4943 7882,J 3833 9598,A 0754 1206,I 0383 0028,W 1679 0048,I 7011 1862,U 2893 5373,R 0915 6574;7 120 788;eur;
2019101;SAMEDI  ;24/08/2019;24/10/2019;23;31;15;38;17;4;15-17-23-31-38+4;1;2000000;5;100000;61;1000;517;500;2376;50;21842;20;30953;10;292231;5;416198;2,2;10;20000;K 4114 2924,I 6826 0732,W 1669 2259,E 0528 3146,T 7285 0006,L 1219 6245,J 2869 5841,H 1529 0838,W 1672 1951,L 3424 3524;8 821 719;eur;
2019100;MERCREDI;21/08/2019;21/10/2019;17;3;38;1;25;8;1-3-17-25-38+8;1;9000000;3;100000;34;1000;462;500;2237;50;19013;20;29483;10;261111;5;365856;2,2;10;20000;B 6714 8415,Q 7281 8358,R 1737 7411,F 9060 8419,B 7476 0322,T 8640 6028,K 4079 1043,E 8675 2680,V 5085 3786,K 4551 7037;2 559 190;eur;
2019099;LUNDI   ;19/08/2019;19/10/2019;14;31;7;28;2;3;2-7-14-28-31+3;0;8000000;7;100000;63;1000;661;500;2431;50;20147;20;26753;10;229956;5;304217;2,2;10;20000;L 6517 2288,A 5712 1981,Q 9575 3462,D 4670 3751,D 7232 9835,S 5753 1340,A 1559 2170,B 0074 8881,W 1658 4974,D 9830 7623;4 636 620;eur;
2019098;SAMEDI  ;17/08/2019;17/10/2019;1;21;28;8;37;2;1-8-21-28-37+2;0;7000000;0;100000;47;1000;532;500;2173;50;23531;20;29181;10;332185;5;375100;2,2;10;20000;C 8203 7446,K 9836 1575,J 6956 2492,N 5929 5568,W 1648 5914,D 5327 4526,N 9414 9120,I 6215 6668,O 6395 1848,B 5218 6003;4 972 962;eur;
2019097;MERCREDI;14/08/2019;14/10/2019;45;17;27;48;34;2;17-27-34-45-48+2;0;6000000;1;100000;26;1000;305;500;1304;50;14096;20;19304;10;212627;5;298378;2,2;10;20000;G 0680 2349,A 6252 7841,J 2288 7628,H 9340 7531,O 0174 3926,E 5554 2254,D 8807 1743,T 0618 3882,O 5648 4460,V 5508 9149;3 164 663;eur;
2019096;LUNDI   ;12/08/2019;12/10/2019;31;30;9;20;34;10;9-20-30-31-34+10;0;5000000;0;100000;24;1000;226;500;1029;50;11730;20;15434;10;183552;5;217489;2,2;10;20000;B 6598 5330,U 8025 1824,A 2586 0268,C 9279 4407,B 6941 3521,M 7103 5324,G 1291 2229,C 8552 9461,B 5045 4816,C 8411 0650;3 112 114;eur;
2019095;SAMEDI  ;10/08/2019;10/10/2019;37;4;12;9;18;3;4-9-12-18-37+3;0;4000000;4;100000;87;1000;717;500;3614;50;30578;20;43754;10;375029;5;471701;2,2;10;20000;N 1181 7464,P 0357 1467,H 5609 4191,I 3137 6589,H 2720 6934,S 3587 2183,Q 3519 8195,T 9794 6389,D 4867 5856,N 4674 1360;1 344 882;eur;
2019094;MERCREDI;07/08/2019;07/10/2019;26;28;36;29;5;4;5-26-28-29-36+4;0;3000000;2;100000;23;1000;247;500;1496;50;14542;20;23602;10;224743;5;318780;2,2;10;20000;F 6861 7845,S 0849 2822,Q 6710 8397,V 6210 1306,L 4878 8621,E 6483 0352,E 7169 7586,L 5500 9416,P 1311 6897,U 6232 0193;0 527 710;eur;
2019093;LUNDI   ;05/08/2019;05/10/2019;5;45;22;26;33;9;5-22-26-33-45+9;0;2000000;0;100000;29;1000;305;500;1337;50;12658;20;19485;10;181438;5;252861;2,2;10;20000;P 9216 3441,B 8124 1059,S 6939 6461,L 5336 2822,W 1604 7137,H 3057 5518,U 5958 1989,A 2083 6363,F 6884 3870,G 9002 0164;5 658 433;eur;
2019092;SAMEDI  ;03/08/2019;03/10/2019;10;4;5;23;7;4;4-5-7-10-23+4;2;1000000;5;100000;141;1000;1381;500;4805;50;42390;20;46908;10;428364;5;413895;2,2;10;20000;L 7152 7355,H 1840 4158,Q 3349 3959,F 3374 6986,I 8838 9713,S 9454 0035,E 4802 5191,K 1120 8167,L 1618 1978,C 4184 4296;4 236 596;eur;
2019091;MERCREDI;31/07/2019;30/09/2019;32;18;8;36;30;5;8-18-30-32-36+5;1;3000000;0;100000;23;1000;287;500;1726;50;13120;20;26178;10;198541;5;396910;2,2;10;20000;S 2637 6076,H 9135 1156,E 7558 2208,V 4491 1929,G 6063 6954,M 6226 6712,G 3364 0553,V 1607 1729,K 4233 0634,M 0576 9077;9 240 144;eur;
2019090;LUNDI   ;29/07/2019;28/09/2019;6;29;3;47;21;3;3-6-21-29-47+3;0;2000000;0;100000;51;1000;307;500;1774;50;13555;20;23634;10;182790;5;270961;2,2;10;20000;P 2913 6241,H 7021 8671,I 2485 3228,U 5127 1733,J 7481 1313,K 6696 3400,I 5209 6292,G 9796 5313,G 0994 7950,V 4781 2880;1 378 477;eur;
2019089;SAMEDI  ;27/07/2019;26/09/2019;25;28;39;47;31;8;25-28-31-39-47+8;1;3000000;2;100000;37;1000;382;500;1954;50;15972;20;29512;10;249223;5;462652;2,2;10;20000;S 2277 4807,K 7711 8423,M 8056 2225,G 4141 9552,M 3415 7902,L 2462 0819,U 1433 7262,S 8835 4497,G 3058 5603,T 5528 6732;7 140 557;eur;
2019088;MERCREDI;24/07/2019;23/09/2019;39;25;10;32;40;10;10-25-32-39-40+10;0;2000000;0;100000;14;1000;230;500;1022;50;11247;20;15864;10;178553;5;246425;2,2;10;20000;J 1146 6720,A 7509 6943,N 9107 8073,A 0494 1606,H 2594 8377,V 8181 7883,U 4034 0266,F 0795 4517,G 0483 6491,S 5778 8469;6 116 229;eur;
2019087;LUNDI   ;22/07/2019;21/09/2019;28;37;44;11;7;3;7-11-28-37-44+3;1;4000000;4;100000;51;1000;403;500;1927;50;15368;20;24404;10;203570;5;281712;2,2;10;20000;U 4310 8244,H 0403 1348,R 0509 0680,J 2829 6494,A 4815 9682,Q 0345 8374,T 6789 9857,H 9553 1042,I 3917 2743,N 4466 5055;7 481 767;eur;
2019086;SAMEDI  ;20/07/2019;19/09/2019;21;17;29;35;18;6;17-18-21-29-35+6;0;3000000;1;100000;42;1000;413;500;2202;50;20936;20;31144;10;308081;5;415450;2,2;10;20000;C 0083 1084,D 3967 9440,I 3182 0245,I 5423 8775,V 6209 7116,S 1497 8947,M 7069 7399,L 6786 5857,G 4789 4876,F 0684 6087;8 072 717;eur;
2019085;MERCREDI;17/07/2019;16/09/2019;26;4;27;47;28;8;4-26-27-28-47+8;0;2000000;1;100000;20;1000;257;500;1535;50;13978;20;24693;10;217986;5;335196;2,2;10;20000;O 2037 7636,M 9582 3471,I 0108 6791,M 4886 7194,P 0266 6104,T 4029 8967,R 5615 3642,G 9864 4232,Q 1921 4658,V 0258 0546;0 163 673;eur;
2019084;LUNDI   ;15/07/2019;14/09/2019;10;1;19;13;3;4;1-3-10-13-19+4;2;7000000;8;100000;90;1000;1066;500;2825;50;30170;20;30086;10;291325;5;297892;2,2;10;20000;N 8968 7997,J 9412 0928,K 4169 6512,F 0595 1317,C 4418 7925,O 3841 2617,I 2127 0124,S 5997 3545,R 5887 7476,D 5916 5825;0 701 598;eur;
2019083;SAMEDI  ;13/07/2019;12/09/2019;27;18;49;37;48;10;18-27-37-48-49+10;0;2000000;0;100000;32;1000;440;500;1672;50;18875;20;24840;10;282093;5;353554;2,2;10;20000;B 7361 8459,T 5459 4561,O 6838 8769,E 1988 4793,Q 7573 5235,G 7155 1450,K 7426 2662,E 3646 2472,L 8105 6723,I 4272 3349;8 639 972;eur;
2019082;MERCREDI;10/07/2019;09/09/2019;7;21;29;35;47;6;7-21-29-35-47+6;1;3000000;2;100000;42;1000;390;500;1587;50;16221;20;21958;10;226464;5;310321;2,2;10;20000;F 9247 0390,L 7040 3145,M 1497 9183,O 0632 1314,C 5653 7052,V 1640 7652,C 5986 2625,L 7977 2349,D 3788 6003,V 4087 2739;6 116 911;eur;
2019081;LUNDI   ;08/07/2019;07/09/2019;26;11;38;20;33;10;11-20-26-33-38+10;0;2000000;1;100000;22;1000;245;500;922;50;12375;20;14426;10;182414;5;201303;2,2;10;20000;W 1525 7457,K 4114 9771,F 3769 8040,N 3027 6109,G 6380 1497,U 1915 2435,Q 5635 1453,P 6347 2104,I 6510 4523,H 8613 8642;5 930 666;eur;
2019080;SAMEDI  ;06/07/2019;05/09/2019;13;6;2;27;12;10;2-6-12-13-27+10;1;11000000;12;100000;92;1000;1429;500;3331;50;45608;20;38272;10;483501;5;393501;2,2;10;20000;J 7414 8112,E 4073 6988,D 1554 5969,B 7668 7368,N 0134 6509,A 6795 7406,N 2944 3413,P 3102 5055,V 5735 8034,J 2337 8149;0 942 420;eur;
2019079;MERCREDI;03/07/2019;02/09/2019;39;38;8;31;45;8;8-31-38-39-45+8;0;10000000;0;100000;27;1000;278;500;1661;50;12918;20;25508;10;205911;5;388645;2,2;10;20000;D 8390 8445,S 0941 3050,R 7876 9048,D 0301 3361,H 4839 2609,R 5384 5589,K 0570 3816,J 5255 1589,B 0930 8249,S 9222 1488;0 211 392;eur;
2019078;LUNDI   ;01/07/2019;31/08/2019;38;23;41;3;17;3;3-17-23-38-41+3;0;9000000;1;100000;42;1000;304;500;1819;50;14055;20;24492;10;195074;5;313459;2,2;10;20000;I 6380 7210,R 5962 6453,Q 6213 6343,H 4962 3772,M 0817 7268,B 8334 4590,C 4929 3905,T 5385 6030,A 1357 8930,C 1757 0200;7 718 534;eur;
2019077;SAMEDI  ;29/06/2019;29/08/2019;46;42;1;4;3;3;1-3-4-42-46+3;0;8000000;0;100000;38;1000;314;500;2162;50;18172;20;36601;10;302878;5;513305;2,2;10;20000;B 0258 2340,K 8594 8228,Q 9705 5982,U 3319 5822,E 3783 1272,B 4670 4368,B 8297 9809,M 7163 5057,T 7607 0493,U 2644 1264;8 248 382;eur;
2019076;MERCREDI;26/06/2019;26/08/2019;4;47;43;30;7;10;4-7-30-43-47+10;0;7000000;1;100000;28;1000;379;500;1374;50;15889;20;20348;10;238816;5;270892;2,2;10;20000;L 9056 5984,B 1029 7764,P 3221 0415,P 9491 7020,T 1117 6897,H 1121 9345,M 0685 1093,U 8279 6942,B 4923 9516,R 2773 0922;6 366 172;eur;
2019075;LUNDI   ;24/06/2019;24/08/2019;33;16;1;32;45;6;1-16-32-33-45+6;0;6000000;0;100000;20;1000;208;500;1040;50;9799;20;16128;10;159517;5;265979;2,2;10;20000;K 5287 7661,H 3357 0406,B 3043 4747,M 8457 2327,V 1897 3331,M 1616 7198,Q 5776 3774,G 2757 8806,O 3296 3431,R 4534 0893;2 111 368;eur;
2019074;SAMEDI  ;22/06/2019;22/08/2019;13;20;10;25;27;2;10-13-20-25-27+2;0;5000000;7;100000;96;1000;1090;500;3237;50;37389;20;37443;10;419409;5;389201;2,2;10;20000;B 5086 8642,O 8267 8332,R 8632 3826,G 3587 2109,L 4480 1590,F 9105 9689,G 6375 9310,P 3915 2795,B 6122 1149,P 9174 7092;3 221 726;eur;
2019073;MERCREDI;19/06/2019;19/08/2019;45;46;4;36;18;5;4-18-36-45-46+5;0;4000000;0;100000;31;1000;228;500;1562;50;12281;20;23843;10;188801;5;421155;2,2;10;20000;O 3830 5430,J 4718 4573,Q 5575 8943,E 0307 2426,T 0804 5171,J 3643 1667,L 3387 4830,N 9469 2120,K 7285 1659,D 9465 0734;8 583 986;eur;
