annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;promotion_second_tirage;combinaison_gagnant_second_tirage_en_ordre_croissant;nombre_de_gagnant_au_rang_1_second_tirage;rapport_du_rang1_second_tirage;nombre_de_gagnant_au_rang_2_second_tirage;rapport_du_rang2_second_tirage;nombre_de_gagnant_au_rang_3_second_tirage;rapport_du_rang3_second_tirage;nombre_de_gagnant_au_rang_4_second_tirage;rapport_du_rang4_second_tirage;numero_jokerplus;devise;
20222152;LUNDI   ;19/12/2022;18/02/2023;43;35;6;31;36;4;6-31-35-36-43+4;0;5000000;1;148552,5;16;2266,1;190;688,2;1024;76,3;9395;29,9;16437;13,3;151146;5,7;296803;2,2;10;20000;V 1107 7405,F 9894 6364,I 5278 8808,O 1919 2228,S 3397 2430,V 3921 7407,E 2639 0781,Q 4307 8194,I 5229 5635,O 0235 9062;5;10;14;26;30;;5-10-14-26-30;4;26444;422;208,3;13523;16,7;153420;3;4 763 619;eur;
20222151;SAMEDI  ;17/12/2022;16/02/2023;46;27;42;23;8;3;8-23-27-42-46+3;0;4000000;3;78850,5;44;1312,1;498;418,1;2521;49,3;21209;21,1;38834;8,9;314624;4,3;518843;2,2;10;20000;N 2997 9955,K 5885 4529,P 6113 1167,O 6483 4933,O 7758 5795,C 9831 4620,Q 1810 1726,V 6282 4100,A 9170 7531,F 7609 0211;1;11;30;31;49;;1-11-30-31-49;0;168152;392;421,1;16054;26,4;213821;3;1 044 020;eur;
20222150;MERCREDI;14/12/2022;13/02/2023;15;37;4;20;6;10;4-6-15-20-37+10;0;3000000;0;188606,6;40;5866;380;436,9;1537;64,5;17757;20,1;21698;12,8;248599;4,4;275259;2,2;10;20000;A 3397 1913,O 2613 9834,V 7012 9662,E 7907 2315,P 5883 3238,J 1370 1726,F 7016 0062,R 3264 8428,J 7482 7208,P 4227 2162;17;30;31;37;41;;17-30-31-37-41;0;121905;189;751,2;8197;44,5;128456;3;7 997 245;eur;
20222149;LUNDI   ;12/12/2022;11/02/2023;46;25;47;2;35;10;2-25-35-46-47+10;0;2000000;0;152631,2;25;7595,3;162;829,4;920;87,2;9043;31,9;14355;15,6;149202;5,9;233643;2,2;10;20000;R 5939 3578,P 5571 7245,L 5200 2079,S 5298 0308,U 5782 2839,R 7561 0552,P 0843 1048,C 6482 7030,R 1247 3579,L 5740 5131;3;12;13;23;34;;3-12-13-23-34;1;103681;296;279,7;12522;17;154420;3;3 110 797;eur;
20222148;SAMEDI  ;10/12/2022;09/02/2023;6;43;29;13;27;2;6-13-27-29-43+2;1;3000000;5;52533,4;67;956,8;772;299,5;2671;51,7;29402;16,9;34726;11,1;377698;4;422894;2,2;10;20000;P 6725 2009,B 9633 7539,G 0641 2387,F 9620 4842,L 0775 6893,G 7815 7368,K 4317 1507,E 3673 1905,P 9376 5159,G 5694 9676;4;16;26;33;48;;4-16-26-33-48;3;57450;309;607,1;13220;36,4;197244;3;0 236 754;eur;
20222147;MERCREDI;07/12/2022;06/02/2023;2;12;38;15;10;5;2-10-12-15-38+5;0;2000000;1;168769,9;68;605,7;523;284;2862;31;21252;15;35825;6,9;271804;3,6;393571;2,2;10;20000;E 1062 2742,B 2819 0466,R 3009 7247,A 4712 9217,L 4653 0318,G 1738 9632,V 2247 9103,K 9541 8499,A 7186 9769,L 0239 5411;4;7;11;38;44;;4-7-11-38-44;1;123038;379;280,2;14077;19,4;173784;3;6 746 206;eur;
20222146;LUNDI   ;05/12/2022;04/02/2023;36;45;9;24;17;7;9-17-24-36-45+7;1;25000000;6;29919;87;503,6;553;285,7;3140;30;19743;17,2;41500;6,3;262459;3,9;541682;2,2;10;20000;G 5051 8449,Q 9248 6255,M 2753 3032,K 1354 1273,P 9432 3039,T 9438 3013,O 7360 4955,K 0772 5145,S 0778 3450,C 5100 1391;1;4;6;12;42;;1-4-6-12-42;1;137380;406;290;16245;18,6;195044;3;3 448 477;eur;
20222145;SAMEDI  ;03/12/2022;02/02/2023;32;19;34;26;27;9;19-26-27-32-34+9;0;24000000;1;312119,1;48;1587;485;566,5;2849;57,6;25459;23,2;44240;10,3;390419;4,6;619317;2,2;10;20000;N 4063 2134,R 4992 9045,V 0136 0378,M 2129 5165,E 3071 2779,R 8829 5603,H 5521 0409,R 5483 1237,T 7989 4473,S 2249 1030;16;22;24;26;47;;16-22-24-26-47;0;208755;377;566,1;17517;31,3;255304;3;6 169 168;eur;
20222144;MERCREDI;30/11/2022;30/01/2023;44;18;28;49;30;5;18-28-30-44-49+5;0;23000000;2;108281,8;42;1258,5;391;487,5;2308;49,3;18647;21,9;35763;8,9;287681;4,3;499410;2,2;10;20000;T 9996 6001,U 0953 8802,D 8796 9920,K 2188 1556,L 6255 1044,P 0390 2127,P 9373 7219,M 5076 8713,F 8185 9792,P 4523 4246;24;37;44;46;48;;24-37-44-46-48;1;149450;255;698,9;11059;41,4;152497;3;1 245 678;eur;
20222143;LUNDI   ;28/11/2022;28/01/2023;24;46;9;2;13;6;2-9-13-24-46+6;0;22000000;4;47489,8;61;760;607;275,4;2400;41,6;21953;16,3;30141;9,2;279800;3,9;368052;2,2;10;20000;R 2046 9947,Q 2240 8752,C 1568 1022,V 5285 6069,P 0106 9294,W 3670 4022,J 1301 7074,V 3009 8993,F 1410 8666,T 6099 0689;6;21;30;35;47;;6-21-30-35-47;1;127260;185;779,4;8957;41,3;138880;3;1 057 304;eur;
