annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;boule_6;boule_complementaire;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;numero_jokerplus;devise;
2008002;VE;20080613;20080813;34;25;37;42;15;36;49;15-25-34-36-37-42;2;7501991;6;78102,6;225;5101,4;613;242,4;14049;121,2;17651;16,2;253160;8,1;8 651 700;eur;
2008001;VE;20080229;20080430;1;49;30;17;15;13;48;1-13-15-17-30-49;2;10001036;8;44953,9;351;2493,7;574;161,8;16166;80,9;15033;12,2;259505;6,1;8 152 912;eur;
2007004;VE;20071207;20080206;25;48;31;26;41;24;12;24-25-26-31-41-48;0;0;4;72334,1;115;6124;406;270,4;7602;135,2;13886;15,8;154751;7,9;4 437 546;eur;
2007003;VE;20070907;20071107;26;14;1;20;37;27;8;1-14-20-26-27-37;2;7500934;6;42459,2;124;4956,7;422;247,4;7172;123,7;12373;15;143499;7,5;2 027 543;eur;
2007002;VE;20070713;20070912;20;15;36;18;24;44;6;15-18-20-24-36-44;2;7502196;5;93573;230;5034,7;804;238,4;14066;119,2;24857;15,6;255057;7,8;6 044 704;eur;
2007001;VE;20070413;20070613;4;28;40;31;1;25;16;1-4-25-28-31-40;2;7502098;12;40409,2;318;3685,2;1200;183,4;18158;91,7;27225;12,8;316784;6,4;5 097 320;eur;
2006003;VE;20061013;20061213;28;36;38;16;31;30;49;16-28-30-31-36-38;1;15002004;2;212532,6;189;5856,5;522;285,4;11486;142,7;16606;17,2;228719;8,6;6 578 042;eur;
2006002;VE;20060526;20060726;7;25;45;22;32;43;6;7-22-25-32-43-45;2;15004838;9;47419,6;235;4394,7;562;205,4;15086;102,7;17137;14;264940;7;5 403 426;eur;
2006001;VE;20060113;20060316;28;5;25;9;2;18;3;2-5-9-18-25-28;7;2142858;29;23944,1;873;1914,1;2187;126,6;37690;63,3;51726;10,2;553633;5,1;;eur;
2005004;JE;20051027;20051228;42;34;32;20;47;44;5;20-32-34-42-44-47;0;0;2;150620,2;199;3856;441;248;9080;124;11923;16,8;161554;8,4;;eur;
2005003;VE;20050513;20050714;1;19;26;32;20;38;42;1-19-20-26-32-38;0;0;7;74975,7;305;4210,4;662;211,6;18220;105,8;20280;15,2;304134;7,6;;eur;
2005002;JE;20050407;20050608;35;2;32;40;17;27;10;2-17-27-32-35-40;1;20008551;7;51838,8;252;3497,5;599;214,2;12033;107,1;16522;14,6;211087;7,3;;eur;
2005001;JE;20050210;20050413;7;1;13;17;24;41;34;1-7-13-17-24-41;3;5001186;7;47531,3;373;2178;654;134,6;17964;67,3;16069;10,4;282606;5,2;;eur;
2004004;JE;20041202;20050202;48;14;34;23;19;15;26;14-15-19-23-34-48;0;0;10;37707,6;174;5213,8;557;249,6;10613;124,8;15041;15,8;203027;7,9;;eur;
2004003;VE;20040813;20041014;10;8;13;33;44;1;42;1-8-10-13-33-44;3;5000000;5;102885,5;615;2102,3;984;129,4;29942;64,7;25110;10,2;458114;5,1;;eur;
2004002;SA;20040417;20040618;8;45;7;29;14;44;49;7-8-14-29-44-45;2;12500000;6;72804,3;268;3982,5;579;216,6;14702;108,3;18513;14;275399;7;;eur;
2004001;VE;20040123;20040325;12;30;49;24;48;2;20;2-12-24-30-48-49;0;0;10;59720;404;3596,8;935;197,2;21824;98,6;27469;13,6;378129;6,8;;eur;
2003007;VE;20031212;20040212;1;4;15;25;3;34;24;1-3-4-15-25-34;0;0;10;56043,1;319;4263,7;886;201,8;19942;100,9;25793;12,6;385105;6,3;;eur;
2003006;VE;20031031;20031230;3;9;10;16;7;6;31;3-6-7-9-10-16;14;1428572;58;10804,2;2083;729,4;3105;73,6;57442;36,8;51829;8;637522;4;;eur;
2003005;VE;20031003;20031202;32;3;9;49;36;6;47;3-6-9-32-36-49;6;3333334;10;64641,5;572;2761,5;921;181,8;25999;90,9;26906;12,8;446278;6,4;;eur;
2003004;VE;20030711;20030909;10;42;26;15;46;23;22;10-15-23-26-42-46;0;0;8;43041,7;200;4161;472;211,4;11734;105,7;14579;14,6;204602;7,3;;eur;
2003003;JE;20030703;20030901;21;2;6;5;18;38;3;2-5-6-18-21-38;0;0;5;62872,9;245;3129,2;723;179,6;12260;89,8;22886;12;214321;6;;eur;
2003002;VE;20030613;20030812;20;18;19;33;49;46;3;18-19-20-33-46-49;2;7500000;9;76601;384;4397,3;1199;244,2;19892;122,1;32310;15,8;370892;7,9;;eur;
2003001;VE;20030321;20030520;31;15;29;22;40;17;7;15-17-22-29-31-40;0;0;11;46826,9;308;4049,1;876;207,4;17608;103,7;26369;14,6;293180;7,3;;eur;
2002004;VE;20021213;20030211;7;48;33;16;31;24;37;7-16-24-31-33-48;5;3000000;19;48354,4;659;3383,6;1664;205,6;31535;102,8;42993;14;560425;7;;eur;
